E-VBM_eV,comp1_total_perfu,modelc_total_perfu
-2.130,8.8702,6.0048
-2.120,8.2292,6.0806
-2.110,8.2799,4.6608
-2.100,8.4564,3.8986
-2.090,9.8497,4.1550
-2.080,10.4452,5.2560
-2.070,9.7085,6.9154
-2.060,9.6500,9.0534
-2.050,8.9222,9.9384
-2.040,6.5161,8.9856
-2.030,4.3634,8.2672
-2.020,3.5503,7.5236
-2.010,2.9792,6.9532
-2.000,3.2332,6.8140
-1.990,4.4443,7.6922
-1.980,6.4245,8.1828
-1.970,8.5848,9.1124
-1.960,11.8687,10.2720
-1.950,19.5584,9.5480
-1.940,26.3715,9.7640
-1.930,26.3475,9.3108
-1.920,26.3720,6.9450
-1.910,25.7446,7.0426
-1.900,22.7390,9.5300
-1.890,14.0208,9.8430
-1.880,3.4774,7.6160
-1.870,0.8103,8.1288
-1.860,0.0000,11.6616
-1.850,0.0422,10.3694
-1.840,0.5144,8.5916
-1.830,1.4278,13.8878
-1.820,2.6172,15.2116
-1.810,7.1541,11.7816
-1.800,14.6168,14.0074
-1.790,17.5756,15.9418
-1.780,17.6223,13.2778
-1.770,18.3324,12.2006
-1.760,16.8641,12.4232
-1.750,15.9685,12.5456
-1.740,15.2584,13.8938
-1.730,11.9390,12.5608
-1.720,9.1841,11.0896
-1.710,11.0283,12.1004
-1.700,12.6100,11.5334
-1.690,11.1459,10.6120
-1.680,9.6022,11.3650
-1.670,9.1668,10.9010
-1.660,11.3806,10.3998
-1.650,15.3565,10.3564
-1.640,19.3615,10.7828
-1.630,22.9987,11.5878
-1.620,24.6117,11.5598
-1.610,22.6623,11.3754
-1.600,18.8133,10.0644
-1.590,13.9150,8.7986
-1.580,10.3125,7.7636
-1.570,7.5695,7.7288
-1.560,5.1069,8.9916
-1.550,3.4601,9.2098
-1.540,2.5398,8.3720
-1.530,2.1717,7.5280
-1.520,1.9610,7.3448
-1.510,1.8242,6.9174
-1.500,1.7201,6.7312
-1.490,1.5936,7.7838
-1.480,1.4478,8.5232
-1.470,1.3271,8.4994
-1.460,1.2426,7.5976
-1.450,1.1844,6.6274
-1.440,1.0986,6.7310
-1.430,0.9585,7.7280
-1.420,0.8286,9.5902
-1.410,0.6618,9.7948
-1.400,0.3992,7.1856
-1.390,0.2613,6.0284
-1.380,0.4019,7.2974
-1.370,0.4938,8.4190
-1.360,0.5401,8.4784
-1.350,0.6139,7.8722
-1.340,0.7082,6.3882
-1.330,0.8056,5.0202
-1.320,0.9704,4.6156
-1.310,1.6426,4.9998
-1.300,3.1919,7.1042
-1.290,4.8657,8.2976
-1.280,5.8642,7.5582
-1.270,6.6100,7.3388
-1.260,7.4109,7.6562
-1.250,8.5664,7.7398
-1.240,11.2801,8.6442
-1.230,14.3086,9.2468
-1.220,15.1828,8.2210
-1.210,14.6722,7.6154
-1.200,14.3508,8.0596
-1.190,14.0218,8.3670
-1.180,17.0854,7.4806
-1.170,18.9564,6.8992
-1.160,14.2963,7.1128
-1.150,11.4791,7.2752
-1.140,8.8716,7.1146
-1.130,5.3093,6.4826
-1.120,1.6341,5.5912
-1.110,3.0862,4.9970
-1.100,6.0772,4.5038
-1.090,5.7254,4.5220
-1.080,6.3491,4.8846
-1.070,6.8288,4.8848
-1.060,8.0365,4.4976
-1.050,8.9895,4.1236
-1.040,9.2360,4.0170
-1.030,8.9439,4.8208
-1.020,8.2207,6.3240
-1.010,8.2226,7.5298
-1.000,8.0888,7.1324
-0.990,8.5188,5.6076
-0.980,10.3697,4.6002
-0.970,11.6590,4.7788
-0.960,10.9160,5.8834
-0.950,10.3806,7.0316
-0.940,9.9765,7.9662
-0.930,9.5445,7.3208
-0.920,8.8429,5.7654
-0.910,7.9919,6.1544
-0.900,8.0923,7.5688
-0.890,8.9377,8.5250
-0.880,9.0287,8.8630
-0.870,8.4328,9.1014
-0.860,6.1855,9.6908
-0.850,4.0600,9.6660
-0.840,3.4913,9.7068
-0.830,3.6185,9.4942
-0.820,3.7880,9.8272
-0.810,4.1364,11.0122
-0.800,5.4188,10.8352
-0.790,7.5148,9.8398
-0.780,8.9517,9.1406
-0.770,10.3948,9.7434
-0.760,12.7304,11.2544
-0.750,14.2476,11.1934
-0.740,13.5255,10.0214
-0.730,13.0495,10.8930
-0.720,12.4675,11.8828
-0.710,11.0601,11.7262
-0.700,10.2584,12.1374
-0.690,10.7595,12.2882
-0.680,12.3838,12.0926
-0.670,15.0461,11.5596
-0.660,17.1077,10.8550
-0.650,16.2154,10.7402
-0.640,15.2255,11.4952
-0.630,15.4820,12.7548
-0.620,13.5800,12.9286
-0.610,12.6888,13.2634
-0.600,14.2412,13.6290
-0.590,16.5723,12.2340
-0.580,16.6487,11.8160
-0.570,16.8732,11.6686
-0.560,17.6499,10.8294
-0.550,17.3263,10.7776
-0.540,15.0199,12.3950
-0.530,14.7046,14.1844
-0.520,15.5375,13.9818
-0.510,15.6813,13.8160
-0.500,16.1247,13.4658
-0.490,18.0351,13.0664
-0.480,18.7205,14.9872
-0.470,17.7056,14.8094
-0.460,18.8828,12.1456
-0.450,20.4041,11.1132
-0.440,18.8407,11.2862
-0.430,17.2111,11.1758
-0.420,15.8190,10.1238
-0.410,14.6007,9.3384
-0.400,13.1554,9.1250
-0.390,11.6569,9.2090
-0.380,11.2691,9.1334
-0.370,12.4603,9.1000
-0.360,12.5756,10.0860
-0.350,12.3776,11.0874
-0.340,13.1690,11.6664
-0.330,13.8504,11.0112
-0.320,13.9524,8.7654
-0.310,14.4433,7.3270
-0.300,15.2794,6.9648
-0.290,15.6050,6.4256
-0.280,14.3641,5.8046
-0.270,13.8173,5.2802
-0.260,16.3318,4.6632
-0.250,18.0512,4.2524
-0.240,17.9274,4.0668
-0.230,19.1956,4.1036
-0.220,18.3601,4.2768
-0.210,13.4987,4.4504
-0.200,10.7477,4.5936
-0.190,9.0126,4.7882
-0.180,7.7452,4.3652
-0.170,6.4252,3.6794
-0.160,5.3233,3.6634
-0.150,4.7664,3.6766
-0.140,4.5309,3.3352
-0.130,4.3125,2.4122
-0.120,4.2047,1.4659
-0.110,4.0989,1.1478
-0.100,3.8926,1.0810
-0.090,3.7798,0.9964
-0.080,3.7670,0.8701
-0.070,3.7705,0.7368
-0.060,3.6390,0.5814
-0.050,3.5268,0.4489
-0.040,2.8273,0.3683
-0.030,1.5519,0.3049
-0.020,0.9331,0.2346
-0.010,0.4957,0.1548
-0.000,0.1575,0.0679
0.010,0.0026,0.0121
0.020,0.0000,0.0005
0.030,0.0000,0.0000
0.040,0.0000,0.0000
0.050,0.0000,0.0000
0.060,0.0000,0.0000
0.070,0.0000,0.0000
0.080,0.0000,0.0000
0.090,0.0000,0.0000
0.100,0.0000,0.0000
0.110,0.0000,0.0000
0.120,0.0000,0.0000
0.130,0.0000,0.0000
0.140,0.0000,0.0000
0.150,0.0000,0.0000
0.160,0.0000,0.0000
0.170,0.0000,0.0000
0.180,0.0000,0.0000
0.190,0.0000,0.0000
0.200,0.0000,0.0000
0.210,0.0000,0.0000
0.220,0.0000,0.0000
0.230,0.0000,0.0000
0.240,0.0000,0.0000
0.250,0.0000,0.0000
0.260,0.0000,0.0000
0.270,0.0000,0.0000
0.280,0.0000,0.0000
0.290,0.0000,0.0000
0.300,0.0000,0.0000
0.310,0.0000,0.0000
0.320,0.0000,0.0000
0.330,0.0000,0.0000
0.340,0.0000,0.0000
