E-EF_eV,total,Cl,Li,P,S
-6.620,0.0013,0.0000,0.0002,0.0004,0.0008
-6.610,0.0017,0.0000,0.0002,0.0005,0.0010
-6.600,0.0022,0.0000,0.0002,0.0006,0.0013
-6.590,0.0027,0.0000,0.0003,0.0008,0.0016
-6.580,0.0034,0.0000,0.0004,0.0010,0.0020
-6.570,0.0042,0.0000,0.0005,0.0012,0.0025
-6.560,0.0053,0.0000,0.0006,0.0015,0.0031
-6.550,0.0065,0.0000,0.0007,0.0019,0.0038
-6.540,0.0080,0.0000,0.0009,0.0023,0.0047
-6.530,0.0098,0.0001,0.0011,0.0028,0.0057
-6.520,0.0119,0.0001,0.0014,0.0034,0.0070
-6.510,0.0144,0.0001,0.0016,0.0041,0.0085
-6.500,0.0175,0.0001,0.0020,0.0050,0.0102
-6.490,0.0210,0.0001,0.0024,0.0060,0.0123
-6.480,0.0252,0.0001,0.0028,0.0072,0.0148
-6.470,0.0300,0.0002,0.0034,0.0086,0.0176
-6.460,0.0357,0.0002,0.0040,0.0102,0.0210
-6.450,0.0423,0.0002,0.0048,0.0121,0.0248
-6.440,0.0498,0.0003,0.0056,0.0143,0.0293
-6.430,0.0586,0.0003,0.0066,0.0168,0.0344
-6.420,0.0685,0.0004,0.0077,0.0197,0.0402
-6.410,0.0799,0.0005,0.0090,0.0230,0.0469
-6.400,0.0929,0.0005,0.0105,0.0267,0.0545
-6.390,0.1075,0.0006,0.0121,0.0309,0.0631
-6.380,0.1239,0.0007,0.0139,0.0356,0.0727
-6.370,0.1423,0.0008,0.0160,0.0409,0.0836
-6.360,0.1629,0.0009,0.0183,0.0469,0.0957
-6.350,0.1858,0.0011,0.0208,0.0535,0.1091
-6.340,0.2111,0.0012,0.0237,0.0608,0.1240
-6.330,0.2390,0.0014,0.0268,0.0688,0.1404
-6.320,0.2697,0.0015,0.0302,0.0776,0.1583
-6.310,0.3032,0.0017,0.0339,0.0873,0.1780
-6.300,0.3396,0.0020,0.0379,0.0978,0.1995
-6.290,0.3792,0.0022,0.0423,0.1092,0.2227
-6.280,0.4219,0.0024,0.0470,0.1216,0.2478
-6.270,0.4678,0.0027,0.0521,0.1349,0.2748
-6.260,0.5170,0.0030,0.0575,0.1491,0.3037
-6.250,0.5696,0.0033,0.0632,0.1642,0.3346
-6.240,0.6254,0.0036,0.0693,0.1804,0.3675
-6.230,0.6844,0.0040,0.0758,0.1975,0.4022
-6.220,0.7467,0.0044,0.0825,0.2155,0.4389
-6.210,0.8121,0.0048,0.0896,0.2344,0.4774
-6.200,0.8806,0.0052,0.0970,0.2542,0.5177
-6.190,0.9519,0.0057,0.1047,0.2748,0.5598
-6.180,1.0260,0.0061,0.1127,0.2963,0.6034
-6.170,1.1026,0.0066,0.1209,0.3184,0.6486
-6.160,1.1815,0.0071,0.1293,0.3413,0.6951
-6.150,1.2626,0.0077,0.1380,0.3648,0.7430
-6.140,1.3455,0.0082,0.1468,0.3888,0.7920
