time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,native_query_coordinate_first_m,native_query_coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
0.1,N,10,0.0000021666666666666665,0.0000021666666666666665,0.0000021666666666666665,0.0000021666666666666665,0.011991050184383885,0.011991050253660247,6.9276362E-11,0.011723230790773018,0.011723230791453635,6.80617E-13,1.3961020536403679,1.396102049296925,-4.3434429E-9,-0.05421949232720635,-0.0542194879847826,4.34242375E-9,-1.3418813363507947,-1.3418813363497755,1.0192E-12
0.1,N,11,0.000002383333333333333,0.000002383333333333333,0.000002383333333333333,0.000002383333333333333,0.011991052658622166,0.011991052589505904,-6.9116262E-11,0.011723230815078069,0.011723230814399063,-6.79006E-13,1.3961018985122426,1.3961019028456474,4.3334048E-9,-0.054219801996849615,-0.05421980633127088,-4.334421265E-9,-1.3418807518974143,-1.3418807518963978,1.0165E-12
0.1,N,12,0.0000026,0.0000026,0.0000026,0.0000026,0.0119910551387333,0.011991055207718917,6.8985617E-11,0.011723230839440815,0.011723230840118583,6.77768E-13,1.3961017430159053,1.3961017386906915,-4.3252138E-9,-0.05422016747729441,-0.054220163153098744,4.324195666E-9,-1.3418801117815096,-1.3418801117804913,1.0183E-12
0.1,N,13,0.0000028166666666666667,0.0000028166666666666667,0.0000028166666666666667,0.0000028166666666666667,0.011991058177131234,0.01199105810830542,-6.8825814E-11,0.011723230869288415,0.011723230868612263,-6.76152E-13,1.3961015525164782,1.3961015568316726,4.3151944E-9,-0.05422055413410076,-0.05422055845031282,-4.31621206E-9,-1.3418794160026473,-1.3418794160016296,1.0177E-12
0.1,N,14,0.000003033333333333333,0.000003033333333333333,0.000003033333333333333,0.000003033333333333333,0.011991061222576878,0.011991061291272406,6.8695528E-11,0.011723230899205263,0.011723230899880177,6.74914E-13,1.3961013615751787,1.3961013572681529,-4.3070258E-9,-0.054220996528985266,-0.05422099222297749,4.306007776E-9,-1.3418786645603336,-1.3418786645593155,1.0181E-12
0.1,N,15,0.0000032499999999999994,0.00000325,0.00000325,0.00000325,0.0119910648251637,0.011991064756627593,-6.8536107E-11,0.011723230934595734,0.011723230933922421,-6.73313E-13,1.396101135702617,1.3961011399996477,4.2970307E-9,-0.0542214601731319,-0.054221464471180925,-4.298049025E-9,-1.341877857454,-1.3418778574529817,1.0183E-12
0.1,N,16,0.0000034666666666666664,0.0000034666666666666664,0.0000034666666666666664,0.0000034666666666666664,0.011991068435973284,0.011991068504379438,6.8406154E-11,0.011723230970066993,0.011723230970739075,6.72082E-13,1.3961009093145096,1.3961009050256268,-4.2888828E-9,-0.05422197948289664,-0.05422197519503169,4.28786495E-9,-1.3418769946830136,-1.3418769946819957,1.0179E-12
0.1,N,17,0.000003683333333333333,0.000003683333333333333,0.000003683333333333333,0.000003683333333333333,0.011991072602784142,0.011991072534537102,-6.8247040E-11,0.011723231011000706,0.011723231010330229,-6.70477E-13,1.3961006480666092,1.3961006523455162,4.2789070E-9,-0.05422252011472861,-0.05422252439465525,-4.27992664E-9,-1.3418760762466841,-1.3418760762456645,1.0196E-12
0.1,N,18,0.0000039,0.0000039,0.0000039,0.0000039,0.011991076778993028,0.011991076847110477,6.8117449E-11,0.01172323105202675,0.011723231052696003,6.69253E-13,1.3961003862294776,1.3961003819586957,-4.2707819E-9,-0.05422311633995913,-0.054223112070193924,4.269765206E-9,-1.3418751021442499,-1.3418751021432331,1.0168E-12
0.1,N,19,0.0000041166666666666665,0.0000041166666666666665,0.0000041166666666666665,0.0000041166666666666665,0.011991081510068828,0.011991081442110156,-6.7958672E-11,0.011723231098504141,0.011723231097836493,-6.67648E-13,1.396100089603674,1.396100093864501,4.260827E-9,-0.054223733959954945,-0.05422373822180249,-4.261847545E-9,-1.34187407237491,-1.3418740723738896,1.0204E-12
