time_s_exact,V_first_V,V_second_V,difference_V_second_minus_first_V,difference_delta_Eeq_V,difference_delta_etaMid_V,difference_delta_phiL_V,difference_decomposition_residual_V
2.75,2.3200625298415405,2.3200607601625705,-0.0000017696789700,-0.0000018050173953,3.6070443744E-8,-7.320181E-10,-3.44E-16
2.8,2.320890587255603,2.320888847521355,-0.000001739734248,-0.0000017745105017,3.5501616758E-8,-7.253634E-10,3.42E-16
2.85,2.3217116071011383,2.3217098967664795,-0.0000017103346588,-0.0000017445569143,3.4940719430E-8,-7.184642E-10,2.70E-16
2.9,2.322525773732664,2.322524092238674,-0.000001681493990,-0.0000017151708601,3.4388192071E-8,-7.113223E-10,3.29E-16
2.95,2.3233332635856345,2.3233316103642485,-0.0000016532213860,-0.0000016863618196,3.3844382404E-8,-7.039493E-10,4.96E-16
3,2.3241342456450056,2.3241326201229042,-0.0000016255221014,-0.0000016581353020,3.3309557555E-8,-6.963570E-10,4.5E-17
3.05,2.3249288818787064,2.324927283480557,-0.0000015983981494,-0.0000016304934985,3.2783899592E-8,-6.885504E-10,-9.2E-17
3.1,2.3257173276391887,2.3257157557903527,-0.0000015718488360,-0.0000016034358394,3.2267537532E-8,-6.805342E-10,6.8E-17
3.15,2.326499732035897,2.3264981861646588,-0.0000015458712382,-0.0000015769594616,3.176054575E-8,-6.723221E-10,-2.5E-16
3.2,2.3272762382811485,2.32727471782057,-0.0000015204605785,-0.0000015510596104,3.1262954446E-8,-6.639223E-10,-2.46E-16
3.25,2.328046984011775,2.32804548840121,-0.000001495610565,-0.0000015257299782,3.0774754964E-8,-6.553415E-10,-2.64E-16
3.3,2.3288121015885195,2.3288106302748592,-0.0000014713136603,-0.0000015009629914,3.0295911332E-8,-6.465803E-10,6.8E-17
3.35,2.329571718375075,2.329570270813722,-0.000001447561353,-0.0000014767500542,2.9826361379E-8,-6.376599E-10,-2.79E-16
3.4,2.3303259569983945,2.3303245326540747,-0.0000014243443198,-0.0000014530817566,2.9366016289E-8,-6.285795E-10,1.1E-17
3.45,2.3310749355918485,2.3310735339392203,-0.0000014016526282,-0.0000014299480491,2.8914774578E-8,-6.193537E-10,2.2E-17
3.5,2.331818768022519,2.3318173885466495,-0.0000013794758695,-0.0000014073383942,2.8472516350E-8,-6.099915E-10,-1.50E-16
3.55,2.3325575641039373,2.3325562063006577,-0.0000013578032796,-0.0000013852418920,2.8039106818E-8,-6.004945E-10,8.2E-17
3.6,2.3332914297953637,2.333290093171516,-0.0000013366238477,-0.0000013636473848,2.7614416087E-8,-5.908787E-10,-2.87E-16
3.65,2.3340204673886342,2.3340191514622246,-0.0000013159264096,-0.0000013425435538,2.7198295394E-8,-5.811513E-10,1.06E-16
3.7,2.3347447756835127,2.3347434799837936,-0.0000012956997191,-0.0000013219189833,2.6790586194E-8,-5.713217E-10,-2.94E-16
3.75,2.3354644501524207,2.335463174219916,-0.0000012759325047,-0.0000013017622376,2.639113172E-8,-5.613986E-10,-2.2E-16
3.8,2.336179583095275,2.3361783264817526,-0.0000012566135224,-0.0000012820619074,2.5999777221E-8,-5.513922E-10,-2.1E-17
3.85,2.3368902637852096,2.336889026053596,-0.0000012377316136,-0.0000012628066556,2.5616353480E-8,-5.413118E-10,3.20E-16
3.9,2.3375965786057855,2.3375953593300647,-0.0000012192757208,-0.0000012439852566,2.5240700423E-8,-5.311645E-10,-1.23E-16
3.95,2.338298611180289,2.338297409945366,-0.000001201234923,-0.0000012255866220,2.4872655046E-8,-5.209559E-10,-1.46E-16
4,2.3389964424937193,2.3389952588952405,-0.0000011835984788,-0.0000012075998289,2.4512056162E-8,-5.107058E-10,-2.62E-16
4.05,2.3396901510078933,2.339688984652072,-0.0000011663558213,-0.0000011900141410,2.4158733458E-8,-5.004136E-10,-1.58E-16
4.1,2.3403798127701805,2.340378663273603,-0.0000011494965775,-0.0000011728190200,2.3812533058E-8,-4.900908E-10,2.42E-16
4.15,2.341065501516299,2.3410643685057004,-0.0000011330105986,-0.0000011560041431,2.3473295312E-8,-4.797507E-10,-1.12E-16
4.2,2.3417472887675266,2.341746171879583,-0.0000011168879436,-0.0000011395594120,2.3140859449E-8,-4.693906E-10,-4.49E-16
4.25,2.342425243922746,2.342424142803835,-0.000001101118911,-0.0000011234749566,2.2815070274E-8,-4.590253E-10,6.26E-16
4.3,2.343099434345594,2.3430983486515724,-0.0000010856940216,-0.0000011077411399,2.2495778796E-8,-4.486606E-10,1.04E-16
4.35,2.3437699254470945,2.3437688548430526,-0.0000010706040419,-0.0000010923485639,2.2182829348E-8,-4.383069E-10,-4.48E-16
