source_id,path,top_level,extension,bytes,sha256,source_url,raw_url
fc-src-93a03d65-license-md,LICENSE.md,LICENSE.md,.md,1116,ba0e6b5bf86fdb83e64d58e08d98079b87ba3b72f8b8e8cb2cd215e8dfa4050a,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/LICENSE.md,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/LICENSE.md
fc-src-93a03d65-readme-md,README.md,README.md,.md,9987,2a1d7fe5bfb5cd7b835669e67666029dfaf4b415500dd070cff9d4eab614f82f,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/README.md,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/README.md
fc-src-93a03d65-codecov-yml,codecov.yml,codecov.yml,.yml,160,d88a896a50b0d6e2a07d0aabc842121fbdb5084aedacad299bb3eefb46f18444,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/codecov.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/codecov.yml
fc-src-93a03d65-configs-allscaip-backbone-md-neno-yaml,configs/allscaip/backbone/md_NeNo.yaml,configs,.yaml,1022,cbd6d6169a426036140ec2f3e400e814ce923d9005dccbb85a2e30401ea52e7b,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/backbone/md_NeNo.yaml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/backbone/md_NeNo.yaml
fc-src-93a03d65-configs-allscaip-backbone-sm-neannosi-yaml,configs/allscaip/backbone/sm_NeAnNoSi.yaml,configs,.yaml,1018,d7275a136bf92adeb13026fba8107bcd5f22b8b5029aae5ec668c084498a1499,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/backbone/sm_NeAnNoSi.yaml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/backbone/sm_NeAnNoSi.yaml
fc-src-93a03d65-configs-allscaip-cluster-local-yaml,configs/allscaip/cluster/local.yaml,configs,.yaml,348,6aa9289a585a1846e355b9f731ffed6890691576e4ccb8569a9dd22049bb07ca,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/cluster/local.yaml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/cluster/local.yaml
fc-src-93a03d65-configs-allscaip-dataset-omol-yaml,configs/allscaip/dataset/omol.yaml,configs,.yaml,2086,72e7cc1eb93dc0f7479f7c1886a4e92acda5a11d59211614def46fc2b7e87883,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/dataset/omol.yaml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/dataset/omol.yaml
fc-src-93a03d65-configs-allscaip-dataset-omol-4m-yaml,configs/allscaip/dataset/omol_4M.yaml,configs,.yaml,2089,2eb86bde67b7a339c439dbbbbb3dc80047efdd65eba9abc3a4e43e2d0af38ea4,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/dataset/omol_4M.yaml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/dataset/omol_4M.yaml
fc-src-93a03d65-configs-allscaip-element-refs-iso-atom-elem-refs-yaml,configs/allscaip/element_refs/iso_atom_elem_refs.yaml,configs,.yaml,8992,5fafaf92b66f0d5857fc8879872fe17010b12e27a83b25f4080872c802512e68,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/element_refs/iso_atom_elem_refs.yaml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/element_refs/iso_atom_elem_refs.yaml
fc-src-93a03d65-configs-allscaip-element-refs-uma-v1-hof-lin-refs-yaml,configs/allscaip/element_refs/uma_v1_hof_lin_refs.yaml,configs,.yaml,12054,fd8c0a2e3051be34dd4dc6caadf23cfd404dc79731f318ab1fb9bbf1765d8899,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/element_refs/uma_v1_hof_lin_refs.yaml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/element_refs/uma_v1_hof_lin_refs.yaml
fc-src-93a03d65-configs-allscaip-omol-4m-yml,configs/allscaip/omol_4m.yml,configs,.yml,4048,bdda25170a2aa5eeb4dbb6a647464758ae613e8cfcd4edfb96cb26cfebf42fe4,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/omol_4m.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/omol_4m.yml
fc-src-93a03d65-configs-allscaip-omol-4m-ft-yml,configs/allscaip/omol_4m_ft.yml,configs,.yml,4731,f5c4de4b0950bf55e9da2abe062faa8bcae64b76a297ed89c738490046060ff5,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/omol_4m_ft.yml,https://raw.githubusercontent.com/facebookresearch/fairchem/93a03d656806a55f08c7cd126cfaa40ef18181fb/configs/allscaip/omol_4m_ft.yml
