# SDCP v7c computed IR (ORCA r2SCAN-3c freq -> mapspc, FWHM 25 cm-1), UNSCALED wavenumbers.
# Multiply wavenumber by 0.965 to compare with experiment (report kb/projects/sdcp_v7c_structure_spectroscopy_report_2026_07_10.md uses scaled values; e.g. O-H 3754 raw -> 3624 scaled).
# Uploaded by user 2026-07-12 (a429bee4-sdcp_v7c_IR.csv). A = 1000 - mapspc transmittance-like value.
# wavenumber_cm-1,A_neutral,A_doped,T_neutral,T_doped  (A = 1000 - mapspc value; FWHM 25; r2SCAN-3c freq)
1500.7800,0.0338,0.0360,999.9662,999.9640
1504.4000,0.0397,0.0265,999.9603,999.9735
1508.0200,0.0430,0.0176,999.9570,999.9824
1511.6300,0.0423,0.0106,999.9577,999.9894
1515.2500,0.0376,0.0058,999.9624,999.9942
1518.8700,0.0300,0.0029,999.9700,999.9971
1522.4800,0.0214,0.0014,999.9786,999.9986
1526.1000,0.0136,0.0007,999.9864,999.9993
1529.7200,0.0077,0.0005,999.9923,999.9995
1533.3300,0.0039,0.0008,999.9961,999.9992
1536.9500,0.0018,0.0017,999.9982,999.9983
1540.5700,0.0007,0.0034,999.9993,999.9966
1544.1800,0.0003,0.0063,999.9997,999.9937
1547.8000,0.0001,0.0105,999.9999,999.9895
1551.4200,0.0000,0.0156,1000.0000,999.9844
1555.0300,0.0000,0.0205,1000.0000,999.9795
1558.6500,0.0000,0.0241,1000.0000,999.9759
1562.2700,0.0000,0.0251,1000.0000,999.9749
1565.8800,0.0000,0.0234,1000.0000,999.9766
1569.5000,0.0000,0.0194,1000.0000,999.9806
1573.1200,0.0000,0.0143,1000.0000,999.9857
1576.7400,0.0000,0.0094,1000.0000,999.9906
1580.3500,0.0000,0.0055,1000.0000,999.9945
1583.9700,0.0000,0.0029,1000.0000,999.9971
1587.5900,0.0000,0.0013,1000.0000,999.9987
1591.2000,0.0000,0.0005,1000.0000,999.9995
1594.8200,0.0001,0.0002,999.9999,999.9998
1598.4400,0.0002,0.0001,999.9998,999.9999
1602.0500,0.0003,0.0000,999.9997,1000.0000
1605.6700,0.0004,0.0000,999.9996,1000.0000
1609.2900,0.0005,0.0000,999.9995,1000.0000
1612.9000,0.0006,0.0000,999.9994,1000.0000
1616.5200,0.0006,0.0000,999.9994,1000.0000
1620.1400,0.0005,0.0000,999.9995,1000.0000
1623.7500,0.0004,0.0000,999.9996,1000.0000
1627.3700,0.0003,0.0000,999.9997,1000.0000
1630.9900,0.0002,0.0000,999.9998,1000.0000
1634.6000,0.0001,0.0000,999.9999,1000.0000
1638.2200,0.0001,0.0000,999.9999,1000.0000
1641.8400,0.0000,0.0000,1000.0000,1000.0000
1645.4500,0.0000,0.0000,1000.0000,1000.0000
1649.0700,0.0000,0.0000,1000.0000,1000.0000
1652.6900,0.0000,0.0000,1000.0000,1000.0000
1656.3000,0.0000,0.0000,1000.0000,1000.0000
1659.9200,0.0000,0.0000,1000.0000,1000.0000
1663.5400,0.0000,0.0000,1000.0000,1000.0000
1667.1600,0.0000,0.0000,1000.0000,1000.0000
1670.7700,0.0000,0.0000,1000.0000,1000.0000
1674.3900,0.0000,0.0000,1000.0000,1000.0000
1678.0100,0.0000,0.0000,1000.0000,1000.0000
1681.6200,0.0000,0.0000,1000.0000,1000.0000
1685.2400,0.0000,0.0000,1000.0000,1000.0000
1688.8600,0.0000,0.0000,1000.0000,1000.0000
1692.4700,0.0000,0.0000,1000.0000,1000.0000
1696.0900,0.0000,0.0000,1000.0000,1000.0000
1699.7100,0.0000,0.0000,1000.0000,1000.0000
1703.3200,0.0000,0.0000,1000.0000,1000.0000
1706.9400,0.0000,0.0000,1000.0000,1000.0000
1710.5600,0.0000,0.0000,1000.0000,1000.0000
1714.1700,0.0000,0.0000,1000.0000,1000.0000
1717.7900,0.0000,0.0000,1000.0000,1000.0000
1721.4100,0.0000,0.0000,1000.0000,1000.0000
1725.0200,0.0000,0.0000,1000.0000,1000.0000
1728.6400,0.0000,0.0000,1000.0000,1000.0000
1732.2600,0.0000,0.0000,1000.0000,1000.0000
1735.8700,0.0000,0.0000,1000.0000,1000.0000
1739.4900,0.0000,0.0000,1000.0000,1000.0000
1743.1100,0.0000,0.0000,1000.0000,1000.0000
1746.7300,0.0000,0.0000,1000.0000,1000.0000
1750.3400,0.0000,0.0000,1000.0000,1000.0000
1753.9600,0.0000,0.0000,1000.0000,1000.0000
1757.5800,0.0000,0.0000,1000.0000,1000.0000
1761.1900,0.0000,0.0000,1000.0000,1000.0000
1764.8100,0.0000,0.0000,1000.0000,1000.0000
1768.4300,0.0000,0.0000,1000.0000,1000.0000
1772.0400,0.0000,0.0000,1000.0000,1000.0000
1775.6600,0.0000,0.0000,1000.0000,1000.0000
1779.2800,0.0000,0.0000,1000.0000,1000.0000
