case,channel,status,rho_kind,n_nodes,path_A,path_B,kwarg,tol_A,tol_B,cg_info_A,rtol_A,rtol_B,atol_A,binding_A,sigma_ratio_A,sigma_ratio_B,delta_pct,delta_perm_pct,perm_status,perm_n_moved,perm_path,rho_registered_pct,rho_source
lhs00_106,electronic,OK,direct,3684,spsolve,spsolve,,,,,,,,,7.667778677812565e-08,7.667778677812565e-08,0.0,4.5790105098191386e-10,OK,3684,spsolve,4.5790105098191386e-10,permutation
lhs00_106,thermal,OK,iterative,33999,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.3035848703356065e-06,2.3035848594597895e-06,4.7212573797277046e-07,4.656542365279108e-09,OK,33996,cg,4.7212573797277046e-07,tighten
lhs00_107,ionic,SOLVE_NONE,none,3722,none,none,,,,,,,,,,,,,skipped,,,,
lhs00_107,electronic,OK,direct,12434,spsolve,spsolve,,,,,,,,,1.8113541641560613e-07,1.8113541641560613e-07,0.0,2.797985248190615e-09,OK,12433,spsolve,2.797985248190615e-09,permutation
lhs00_107,thermal,OK,direct,16156,spsolve,spsolve,,,,,,,,,1.2454446520524254e-06,1.2454446520524254e-06,0.0,8.78066368163515e-09,OK,16153,spsolve,8.78066368163515e-09,permutation
lhs00_108,ionic,SOLVE_NONE,none,3315,none,none,,,,,,,,,,,,,skipped,,,,
lhs00_108,electronic,OK,direct,3683,spsolve,spsolve,,,,,,,,,1.7690730169151112e-07,1.7690730169151112e-07,0.0,2.1814148261782966e-09,OK,3683,spsolve,2.1814148261782966e-09,permutation
lhs00_108,thermal,OK,direct,6998,spsolve,spsolve,,,,,,,,,1.5127229900477982e-06,1.5127229900477982e-06,0.0,2.8800474329175316e-10,OK,6997,spsolve,2.8800474329175316e-10,permutation
lhs00_109,ionic,OK,direct,12789,spsolve,spsolve,,,,,,,,,1.195937374478618e-07,1.195937374478618e-07,0.0,2.4466351158282088e-09,OK,12787,spsolve,2.4466351158282088e-09,permutation
lhs00_109,electronic,OK,direct,3684,spsolve,spsolve,,,,,,,,,8.208100702209651e-08,8.208100702209651e-08,0.0,5.396118275643945e-10,OK,3684,spsolve,5.396118275643945e-10,permutation
lhs00_109,thermal,OK,direct,16473,spsolve,spsolve,,,,,,,,,2.1985570956721163e-06,2.1985570956721163e-06,0.0,3.903493402641083e-09,OK,16473,spsolve,3.903493402641083e-09,permutation
lhs00_110,ionic,OK,direct,7460,spsolve,spsolve,,,,,,,,,8.336567273811334e-09,8.336567273811334e-09,0.0,2.3878253750491624e-09,OK,7457,spsolve,2.3878253750491624e-09,permutation
