E_minus_VBM,Li,P,S,Cl,O
-0.9000,5.1089,0.1699,36.0533,1.4978,0.5710
-0.8800,5.3954,0.1751,38.1276,1.5322,0.5583
-0.8600,5.5670,0.1779,39.4968,1.5311,0.5293
-0.8400,5.6465,0.1794,40.3172,1.4986,0.4901
-0.8200,5.6766,0.1809,40.8556,1.4458,0.4474
-0.8000,5.7010,0.1835,41.3726,1.3870,0.4064
-0.7800,5.7421,0.1873,41.9859,1.3340,0.3693
-0.7600,5.7892,0.1910,42.6070,1.2906,0.3359
-0.7400,5.8065,0.1926,43.0083,1.2527,0.3054
-0.7200,5.7595,0.1907,43.0042,1.2140,0.2774
-0.7000,5.6427,0.1855,42.6198,1.1718,0.2515
-0.6800,5.4882,0.1789,42.1365,1.1294,0.2279
-0.6600,5.3510,0.1734,41.9742,1.0946,0.2069
-0.6400,5.2820,0.1711,42.4847,1.0747,0.1889
-0.6200,5.3034,0.1725,43.7775,1.0718,0.1741
-0.6000,5.4049,0.1763,45.6927,1.0818,0.1620
-0.5800,5.5529,0.1808,47.8988,1.0969,0.1514
-0.5600,5.7069,0.1843,50.0260,1.1096,0.1413
-0.5400,5.8261,0.1858,51.7402,1.1152,0.1311
-0.5200,5.8733,0.1850,52.7816,1.1111,0.1206
-0.5000,5.8230,0.1817,53.0289,1.0964,0.1100
-0.4800,5.6736,0.1765,52.5804,1.0722,0.0996
-0.4600,5.4531,0.1705,51.7619,1.0420,0.0896
-0.4400,5.2079,0.1647,50.9991,1.0118,0.0807
-0.4200,4.9781,0.1599,50.5968,0.9871,0.0739
-0.4000,4.7766,0.1561,50.5747,0.9700,0.0696
-0.3800,4.5850,0.1521,50.6228,0.9558,0.0676
-0.3600,4.3649,0.1465,50.2003,0.9334,0.0668
-0.3400,4.0786,0.1380,48.7509,0.8890,0.0654
-0.3200,3.7085,0.1263,45.9514,0.8137,0.0620
-0.3000,3.2674,0.1119,41.8925,0.7090,0.0562
-0.2800,2.7943,0.0964,37.0515,0.5874,0.0488
-0.2600,2.3362,0.0812,32.0664,0.4667,0.0409
-0.2400,1.9294,0.0676,27.4615,0.3615,0.0338
-0.2200,1.5904,0.0561,23.4916,0.2787,0.0281
-0.2000,1.3165,0.0467,20.1432,0.2174,0.0234
-0.1800,1.0939,0.0389,17.2472,0.1722,0.0195
-0.1600,0.9061,0.0322,14.6089,0.1372,0.0157
-0.1400,0.7408,0.0262,12.1124,0.1081,0.0121
-0.1200,0.5931,0.0208,9.7565,0.0830,0.0088
-0.1000,0.4637,0.0159,7.6201,0.0616,0.0059
-0.0800,0.3546,0.0118,5.7885,0.0442,0.0037
-0.0600,0.2659,0.0084,4.2963,0.0307,0.0022
-0.0400,0.1949,0.0057,3.1169,0.0208,0.0012
-0.0200,0.1381,0.0037,2.1936,0.0137,0.0007
0.0000,0.0931,0.0023,1.4742,0.0087,0.0003
0.0200,0.0586,0.0013,0.9288,0.0052,0.0002
0.0400,0.0339,0.0007,0.5392,0.0029,0.0001
0.0600,0.0177,0.0003,0.2840,0.0015,0.0000
0.0800,0.0083,0.0002,0.1344,0.0007,0.0000
0.1000,0.0035,0.0001,0.0566,0.0003,0.0000
0.1200,0.0013,0.0000,0.0210,0.0001,0.0000
0.1400,0.0004,0.0000,0.0068,0.0000,0.0000
0.1600,0.0001,0.0000,0.0019,0.0000,0.0000
0.1800,0.0000,0.0000,0.0004,0.0000,0.0000
0.2000,0.0000,0.0000,0.0001,0.0000,0.0000
0.2200,0.0000,0.0000,0.0000,0.0000,0.0000
0.2400,0.0000,0.0000,0.0000,0.0000,0.0000
0.2600,0.0000,0.0000,0.0000,0.0000,0.0000
0.2800,0.0000,0.0000,0.0000,0.0000,0.0000
0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3200,0.0000,0.0000,0.0000,0.0000,0.0000
0.3400,0.0000,0.0000,0.0000,0.0000,0.0000
0.3600,0.0000,0.0000,0.0000,0.0000,0.0000
0.3800,0.0000,0.0000,0.0000,0.0000,0.0000
0.4000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4200,0.0000,0.0000,0.0000,0.0000,0.0000
0.4400,0.0000,0.0000,0.0000,0.0000,0.0000
0.4600,0.0000,0.0000,0.0000,0.0000,0.0000
0.4800,0.0000,0.0000,0.0000,0.0000,0.0000
0.5000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5200,0.0000,0.0000,0.0000,0.0000,0.0000
0.5400,0.0000,0.0000,0.0000,0.0000,0.0000
0.5600,0.0000,0.0000,0.0000,0.0000,0.0000
0.5800,0.0000,0.0000,0.0000,0.0000,0.0000
0.6000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6200,0.0000,0.0000,0.0000,0.0000,0.0000
0.6400,0.0000,0.0000,0.0000,0.0000,0.0000
0.6600,0.0000,0.0000,0.0000,0.0000,0.0000
0.6800,0.0000,0.0000,0.0000,0.0000,0.0000
0.7000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7200,0.0000,0.0000,0.0000,0.0000,0.0000
0.7400,0.0000,0.0000,0.0000,0.0000,0.0000
0.7600,0.0000,0.0000,0.0000,0.0000,0.0000
0.7800,0.0000,0.0000,0.0000,0.0000,0.0000
0.8000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8200,0.0000,0.0000,0.0000,0.0000,0.0000
0.8400,0.0000,0.0000,0.0000,0.0000,0.0000
0.8600,0.0000,0.0000,0.0000,0.0000,0.0000
0.8800,0.0000,0.0000,0.0000,0.0000,0.0000
0.9000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9200,0.0000,0.0000,0.0000,0.0000,0.0000
0.9400,0.0000,0.0000,0.0000,0.0000,0.0000
0.9600,0.0000,0.0000,0.0000,0.0000,0.0000
0.9800,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0200,0.0000,0.0000,0.0000,0.0000,0.0000
1.0400,0.0000,0.0000,0.0000,0.0000,0.0000
1.0600,0.0000,0.0000,0.0000,0.0000,0.0000
1.0800,0.0000,0.0000,0.0000,0.0000,0.0000
1.1000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1200,0.0000,0.0000,0.0000,0.0000,0.0000
1.1400,0.0000,0.0000,0.0000,0.0000,0.0000
1.1600,0.0000,0.0000,0.0000,0.0000,0.0000
1.1800,0.0000,0.0000,0.0000,0.0000,0.0000
1.2000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2200,0.0000,0.0000,0.0000,0.0000,0.0000
1.2400,0.0000,0.0000,0.0000,0.0000,0.0000
1.2600,0.0000,0.0000,0.0000,0.0000,0.0000
1.2800,0.0000,0.0000,0.0000,0.0000,0.0000
1.3000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3200,0.0000,0.0000,0.0000,0.0000,0.0000
1.3400,0.0000,0.0000,0.0000,0.0000,0.0000
1.3600,0.0000,0.0000,0.0000,0.0000,0.0000
1.3800,0.0000,0.0000,0.0000,0.0000,0.0000
1.4000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4200,0.0000,0.0000,0.0000,0.0000,0.0000
1.4400,0.0000,0.0000,0.0000,0.0000,0.0000
1.4600,0.0000,0.0000,0.0000,0.0000,0.0000
1.4800,0.0000,0.0000,0.0000,0.0000,0.0000
1.5000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5200,0.0000,0.0000,0.0000,0.0000,0.0000
1.5400,0.0000,0.0000,0.0000,0.0000,0.0000
1.5600,0.0000,0.0000,0.0000,0.0000,0.0000
1.5800,0.0000,0.0000,0.0000,0.0000,0.0000
1.6000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6200,0.0000,0.0000,0.0000,0.0000,0.0000
1.6400,0.0000,0.0000,0.0000,0.0000,0.0000
1.6600,0.0000,0.0000,0.0000,0.0000,0.0000
1.6800,0.0000,0.0000,0.0000,0.0000,0.0000
1.7000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7200,0.0000,0.0000,0.0000,0.0000,0.0000
1.7400,0.0000,0.0000,0.0000,0.0000,0.0000
1.7600,0.0000,0.0000,0.0000,0.0000,0.0000
1.7800,0.0000,0.0000,0.0000,0.0000,0.0000
1.8000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8200,0.0000,0.0000,0.0000,0.0000,0.0000
1.8400,0.0000,0.0000,0.0000,0.0000,0.0000
1.8600,0.0000,0.0000,0.0000,0.0000,0.0000
1.8800,0.0000,0.0000,0.0000,0.0000,0.0000
1.9000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9200,0.0000,0.0000,0.0000,0.0000,0.0000
1.9400,0.0000,0.0000,0.0000,0.0000,0.0000
1.9600,0.0000,0.0000,0.0000,0.0000,0.0000
1.9800,0.0000,0.0000,0.0000,0.0000,0.0000
2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0200,0.0000,0.0000,0.0000,0.0000,0.0000
2.0400,0.0000,0.0000,0.0000,0.0000,0.0000
2.0600,0.0001,0.0001,0.0002,0.0000,0.0000
2.0800,0.0002,0.0005,0.0009,0.0000,0.0000
2.1000,0.0007,0.0016,0.0029,0.0000,0.0000
2.1200,0.0020,0.0044,0.0077,0.0001,0.0000
2.1400,0.0046,0.0102,0.0179,0.0003,0.0001
2.1600,0.0091,0.0203,0.0357,0.0006,0.0001
2.1800,0.0157,0.0352,0.0617,0.0010,0.0002
2.2000,0.0237,0.0530,0.0930,0.0015,0.0003
2.2200,0.0319,0.0713,0.1250,0.0020,0.0004
2.2400,0.0400,0.0895,0.1566,0.0025,0.0004
2.2600,0.0504,0.1127,0.1966,0.0032,0.0006
2.2800,0.0675,0.1511,0.2624,0.0043,0.0008
2.3000,0.0951,0.2127,0.3685,0.0061,0.0012
2.3200,0.1312,0.2939,0.5084,0.0085,0.0016
2.3400,0.1664,0.3732,0.6453,0.0108,0.0021
2.3600,0.1871,0.4201,0.7264,0.0122,0.0023
2.3800,0.1837,0.4128,0.7138,0.0120,0.0023
2.4000,0.1574,0.3538,0.6116,0.0103,0.0020
2.4200,0.1204,0.2696,0.4654,0.0079,0.0016
2.4400,0.0887,0.1965,0.3377,0.0058,0.0013
2.4600,0.0755,0.1642,0.2788,0.0049,0.0013
2.4800,0.0875,0.1876,0.3141,0.0057,0.0017
2.5000,0.1252,0.2683,0.4454,0.0083,0.0025
2.5200,0.1845,0.3966,0.6558,0.0122,0.0037
2.5400,0.2568,0.5533,0.9128,0.0170,0.0051
2.5600,0.3309,0.7134,1.1747,0.0219,0.0067
2.5800,0.3955,0.8523,1.4012,0.0262,0.0082
2.6000,0.4425,0.9525,1.5637,0.0293,0.0094
2.6200,0.4667,1.0037,1.6454,0.0310,0.0102
2.6400,0.4655,1.0004,1.6375,0.0310,0.0104
2.6600,0.4401,0.9454,1.5435,0.0294,0.0101
2.6800,0.3998,0.8578,1.3945,0.0269,0.0094
2.7000,0.3653,0.7817,1.2607,0.0246,0.0089
2.7200,0.3641,0.7759,1.2369,0.0246,0.0091
2.7400,0.4184,0.8892,1.4017,0.0282,0.0105
2.7600,0.5320,1.1313,1.7712,0.0356,0.0132
2.7800,0.6837,1.4595,2.2791,0.0454,0.0165
2.8000,0.8355,1.7931,2.7991,0.0552,0.0193
2.8200,0.9493,2.0487,3.1995,0.0622,0.0210
2.8400,1.0055,2.1792,3.4051,0.0653,0.0213
2.8600,1.0128,2.1965,3.4333,0.0648,0.0208
2.8800,1.0057,2.1684,3.3915,0.0630,0.0203
2.9000,1.0304,2.1897,3.4315,0.0625,0.0204
2.9200,1.1220,2.3343,3.6728,0.0656,0.0215
2.9400,1.2813,2.6073,4.1247,0.0726,0.0236
2.9600,1.4660,2.9292,4.6575,0.0814,0.0262
2.9800,1.6093,3.1746,5.0636,0.0886,0.0288
3.0000,1.6567,3.2450,5.1772,0.0916,0.0310
3.0200,1.5965,3.1232,4.9663,0.0898,0.0329
3.0400,1.4602,2.8704,4.5308,0.0844,0.0345
3.0600,1.2993,2.5784,4.0254,0.0779,0.0359
3.0800,1.1590,2.3249,3.5814,0.0720,0.0372
3.1000,1.0675,2.1580,3.2783,0.0683,0.0389
