E_minus_VBM,Li,P,S,Cl,B,O
4.6000,18.2621,10.4807,11.9387,1.8853,0.7804,0.5510
4.6200,18.1678,10.1376,11.6517,1.8644,0.7855,0.5667
4.6400,18.0591,9.7798,11.3507,1.8415,0.7900,0.5820
4.6600,17.9437,9.4098,11.0392,1.8180,0.7941,0.5966
4.6800,17.8301,9.0303,10.7212,1.7953,0.7982,0.6103
4.7000,17.7269,8.6441,10.4002,1.7750,0.8025,0.6226
4.7200,17.6417,8.2537,10.0797,1.7583,0.8073,0.6333
4.7400,17.5806,7.8614,9.7627,1.7463,0.8127,0.6421
4.7600,17.5477,7.4696,9.4518,1.7396,0.8190,0.6489
4.7800,17.5459,7.0813,9.1499,1.7386,0.8263,0.6536
4.8000,17.5777,6.6996,8.8598,1.7434,0.8347,0.6564
4.8200,17.6457,6.3279,8.5849,1.7542,0.8442,0.6571
4.8400,17.7529,5.9698,8.3282,1.7714,0.8549,0.6559
4.8600,17.9017,5.6283,8.0926,1.7950,0.8668,0.6528
4.8800,18.0945,5.3064,7.8810,1.8250,0.8797,0.6483
4.9000,18.3336,5.0073,7.6960,1.8614,0.8931,0.6427
4.9200,18.6220,4.7344,7.5408,1.9040,0.9066,0.6365
4.9400,18.9632,4.4914,7.4189,1.9527,0.9196,0.6305
4.9600,19.3604,4.2812,7.3332,2.0074,0.9317,0.6249
4.9800,19.8155,4.1054,7.2852,2.0680,0.9426,0.6202
5.0000,20.3284,3.9631,7.2746,2.1339,0.9521,0.6166
5.0200,20.8973,3.8514,7.2992,2.2046,0.9601,0.6140
5.0400,21.5194,3.7664,7.3558,2.2791,0.9665,0.6126
5.0600,22.1918,3.7038,7.4413,2.3566,0.9715,0.6121
5.0800,22.9111,3.6598,7.5524,2.4362,0.9750,0.6125
5.1000,23.6729,3.6311,7.6861,2.5172,0.9772,0.6138
5.1200,24.4699,3.6144,7.8385,2.5985,0.9780,0.6158
5.1400,25.2921,3.6065,8.0049,2.6792,0.9779,0.6184
5.1600,26.1275,3.6041,8.1803,2.7578,0.9770,0.6215
