"# Slide: Step 3 - volume change vs relative energy, one row per structure.",,,
# dV_pct = |screen_dV_over_V0| x 100.  dE_per_atom = screen_de_per_atom.,,,
# ** dE compares structures INSIDE this screen only ** - not a formation energy or hull distance.,,,
"# group: 'carried_forward' if dV_pct <= 25, else 'dropped'.",,,
# In Origin: plot dE vs dV as two scatter series split by the group column.,,,
dV_pct,dE_per_atom,group,dopant
6.041,-0.4112,carried_forward,Ga2S3
6.041,-0.4112,carried_forward,Ga2S3
6.041,-0.4112,carried_forward,Ga2S3
6.042,-0.4112,carried_forward,Ga2S3
6.042,-0.4112,carried_forward,Ga2S3
6.047,-0.2893,carried_forward,MgBr2
6.047,-0.2893,carried_forward,MgBr2
6.048,-0.2893,carried_forward,MgBr2
6.105,-0.9428,carried_forward,Y2O3+Clrich
6.105,-0.9428,carried_forward,Y2O3+Clrich
6.106,-0.9428,carried_forward,Y2O3+Clrich
6.120,-0.7360,carried_forward,CrO3
6.121,-0.7360,carried_forward,CrO3
6.121,-0.7360,carried_forward,CrO3
6.136,0.0429,carried_forward,LiI
6.140,0.0429,carried_forward,LiI
6.140,0.0429,carried_forward,LiI
6.140,0.0429,carried_forward,LiI
6.140,0.0429,carried_forward,LiI
6.140,0.0429,carried_forward,LiI
6.140,0.0429,carried_forward,LiI
6.140,0.0429,carried_forward,LiI
6.148,-0.4117,carried_forward,Ga2S3
6.223,-0.7191,carried_forward,ZrO2
6.223,-0.7191,carried_forward,ZrO2
6.223,-0.7191,carried_forward,ZrO2
6.227,-0.9152,carried_forward,Y2O3
6.227,-0.9152,carried_forward,Y2O3
6.228,-0.9152,carried_forward,Y2O3
6.261,-0.8478,carried_forward,WO3+Clrich
6.270,-0.3602,carried_forward,SnS2
6.293,-0.4224,carried_forward,CrCl3
6.293,-0.3603,carried_forward,SnS2
6.294,-0.3603,carried_forward,SnS2
6.294,-0.3603,carried_forward,SnS2
6.294,-0.3603,carried_forward,SnS2
6.295,-0.4224,carried_forward,CrCl3
6.295,-0.3603,carried_forward,SnS2
6.295,-0.4224,carried_forward,CrCl3
6.295,-0.8480,carried_forward,WO3+Clrich
6.304,-0.8480,carried_forward,WO3+Clrich
6.376,-0.5178,carried_forward,ZrCl4
6.377,-0.5178,carried_forward,ZrCl4
6.377,-0.5178,carried_forward,ZrCl4
6.433,-0.4626,carried_forward,CaS
6.438,-0.3698,carried_forward,ZnO+Clrich
6.438,-0.3698,carried_forward,ZnO+Clrich
6.439,-0.3698,carried_forward,ZnO+Clrich
6.441,-0.4646,carried_forward,MgO+Clrich
6.442,-0.4646,carried_forward,MgO+Clrich
6.444,-0.5570,carried_forward,In2O3
6.444,-0.5570,carried_forward,In2O3
6.444,-0.4646,carried_forward,MgO+Clrich
6.444,-0.5570,carried_forward,In2O3
6.454,-0.3845,carried_forward,Na2S
