step_index,time_s,stepsize_s,raw_native_log_line
204,3.5,0.05,204         3.5        0.05 out  418  213  424     2     0      0  3.2e-11  2.2e-16
205,3.55,0.05,205        3.55        0.05 out  420  214  426     2     0      0  1.4e-11  2.2e-16
206,3.6,0.05,206         3.6        0.05 out  422  215  428     2     0      0  4.5e-11  2.4e-16
207,3.65,0.05,207        3.65        0.05 out  424  216  430     2     0      0  4.4e-11  2.3e-16
208,3.7,0.05,208         3.7        0.05 out  426  217  432     2     0      0  3.6e-12  2.2e-16
209,3.75,0.05,209        3.75        0.05 out  428  218  434     2     0      0  6.3e-11  2.6e-16
210,3.8,0.05,210         3.8        0.05 out  430  219  436     2     0      0  7.7e-11  2.9e-16
211,3.85,0.05,211        3.85        0.05 out  432  220  438     2     0      0  2.4e-11  3.2e-16
212,3.9,0.05,212         3.9        0.05 out  434  221  440     2     0      0  1.6e-11  2.2e-16
213,3.95,0.05,213        3.95        0.05 out  436  222  442     2     0      0  1.5e-11  2.9e-16
214,4.0,0.05,214           4        0.05 out  438  223  444     2     0      0  5.3e-11  2.4e-16
215,4.05,0.05,215        4.05        0.05 out  440  224  446     2     0      0  9.7e-11  2.3e-16
216,4.1,0.05,216         4.1        0.05 out  442  225  448     2     0      0  4.4e-11  2.5e-16
217,4.15,0.05,217        4.15        0.05 out  444  226  450     2     0      0  4.5e-11  2.3e-16
218,4.2,0.05,218         4.2        0.05 out  446  227  452     2     0      0  1.5e-11  2.1e-16
219,4.25,0.05,219        4.25        0.05 out  448  228  454     2     0      0  1.8e-11  2.3e-16
220,4.3,0.05,220         4.3        0.05 out  450  229  456     2     0      0    1e-11  2.3e-16
221,4.35,0.05,221        4.35        0.05 out  452  230  458     2     0      0    9e-12  2.4e-16
222,4.4,0.05,222         4.4        0.05 out  454  231  460     2     0      0  6.5e-11  2.3e-16
223,4.45,0.05,223        4.45        0.05 out  456  232  462     2     0      0  2.9e-11  2.8e-16
224,4.5,0.05,224         4.5        0.05 out  458  233  464     2     0      0  4.6e-11  2.2e-16
225,4.55,0.05,225        4.55        0.05 out  460  234  466     2     0      0  2.4e-11  2.2e-16
226,4.6,0.05,226         4.6        0.05 out  462  235  468     2     0      0  3.8e-12  2.4e-16
227,4.65,0.05,227        4.65        0.05 out  464  236  470     2     0      0    7e-11  2.8e-16
228,4.7,0.05,228         4.7        0.05 out  466  237  472     2     0      0  2.8e-11  2.3e-16
229,4.75,0.05,229        4.75        0.05 out  468  238  474     2     0      0  3.2e-11  2.3e-16
230,4.8,0.05,230         4.8        0.05 out  470  239  476     2     0      0  1.4e-11    4e-16
231,4.85,0.05,231        4.85        0.05 out  472  240  478     2     0      0  1.4e-11  2.3e-16
232,4.9,0.05,232         4.9        0.05 out  474  241  480     2     0      0  2.3e-11  3.4e-16
233,4.95,0.05,233        4.95        0.05 out  476  242  482     2     0      0  5.3e-12  2.2e-16
234,5.0,0.05,234           5        0.05 out  478  243  484     2     0      0  4.3e-12  2.1e-16
