# li3po4_mp-13725 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 2.892 eV. Gap is the fixed-occ nscf value (5.912 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,O_p,O_s,P_p,P_s
-35.458,-38.3499,0,0,0,0,0,0
-35.448,-38.3399,0,0,0,0,0,0
-35.438,-38.3299,0,0,0,0,0,0
-35.428,-38.3199,0,0,0,0,0,0
-35.418,-38.3099,0,0,0,0,0,0
-35.408,-38.2999,0,0,0,0,0,0
-35.398,-38.2899,0,0,0,0,0,0
-35.388,-38.2799,0,0,0,0,0,0
-35.378,-38.2699,0,0,0,0,0,0
-35.368,-38.2599,0,0,0,0,0,0
-35.358,-38.2499,0,0,0,0,0,0
-35.348,-38.2399,0,0,0,0,0,0
-35.338,-38.2299,0,0,0,0,0,0
-35.328,-38.2199,0,0,0,0,0,0
-35.318,-38.2099,0,0,0,0,0,0
-35.308,-38.1999,0,0,0,0,0,0
-35.298,-38.1899,0,0,0,0,0,0
-35.288,-38.1799,0,0,0,0,0,0
-35.278,-38.1699,0,0,0,0,0,0
-35.268,-38.1599,0,0,0,0,0,0
-35.258,-38.1499,0,0,0,0,0,0
-35.248,-38.1399,0,0,0,0,0,0
-35.238,-38.1299,0,0,0,0,0,0
-35.228,-38.1199,0,0,0,0,0,0
-35.218,-38.1099,0,0,0,0,0,0
-35.208,-38.0999,0,0,0,0,0,0
-35.198,-38.0899,0,0,0,0,0,0
-35.188,-38.0799,0,0,0,0,0,0
-35.178,-38.0699,0,0,0,0,0,0
-35.168,-38.0599,0,0,0,0,0,0
-35.158,-38.0499,0,0,0,0,0,0
-35.148,-38.0399,0,0,0,0,0,0
-35.138,-38.0299,0,0,0,0,0,0
-35.128,-38.0199,0,0,0,0,0,0
-35.118,-38.0099,0,0,0,0,0,0
-35.108,-37.9999,0,0,0,0,0,0
-35.098,-37.9899,0,0,0,0,0,0
-35.088,-37.9799,0,0,0,0,0,0
-35.078,-37.9699,0,0,0,0,0,0
-35.068,-37.9599,0,0,0,0,0,0
-35.058,-37.9499,0,0,0,0,0,0
-35.048,-37.9399,0,0,0,0,0,0
-35.038,-37.9299,0,0,0,0,0,0
-35.028,-37.9199,0,0,0,0,0,0
-35.018,-37.9099,0,0,0,0,0,0
