# li3p_mp-736 total DOS (QE dos.x, degauss 0.007 Ry). VBM 3.252 / CBM 3.961 / gap 0.709 eV from fixed-occ nscf eigenvalues. DO NOT read the gap off this curve (smearing underestimates ~0.3 eV).
E_eV,E_minus_VBM_eV,DOS_states_per_eV,integrated_DOS_states
-36.122,-39.3741,4.263e-85,12
-36.112,-39.3641,4.263e-85,12
-36.102,-39.3541,4.263e-85,12
-36.092,-39.3441,4.263e-85,12
-36.082,-39.3341,4.263e-85,12
-36.072,-39.3241,4.263e-85,12
-36.062,-39.3141,4.263e-85,12
-36.052,-39.3041,4.263e-85,12
-36.042,-39.2941,4.263e-85,12
-36.032,-39.2841,4.263e-85,12
-36.022,-39.2741,4.263e-85,12
-36.012,-39.2641,4.263e-85,12
-36.002,-39.2541,4.263e-85,12
-35.992,-39.2441,4.263e-85,12
-35.982,-39.2341,4.263e-85,12
-35.972,-39.2241,4.263e-85,12
-35.962,-39.2141,4.263e-85,12
-35.952,-39.2041,4.263e-85,12
-35.942,-39.1941,4.263e-85,12
-35.932,-39.1841,4.263e-85,12
-35.922,-39.1741,4.263e-85,12
-35.912,-39.1641,4.263e-85,12
-35.902,-39.1541,4.263e-85,12
-35.892,-39.1441,4.263e-85,12
-35.882,-39.1341,4.263e-85,12
-35.872,-39.1241,4.263e-85,12
-35.862,-39.1141,4.263e-85,12
